molecule_chembl_id,smiles,standard_value,bioactivity_class,descriptors,MolWt,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,MolLogP
CHEMBL70104,CC1(C)OC(=O)C(OC2CCCCC2)=C1c1ccc(S(C)(=O)=O)cc1,40.0,active,"{0, 3.4859000000000027, 4, 5, 69.67, 364.463}",0.0,3.4859000000000027,4.0,5.0,69.67,364.463
CHEMBL97179,CCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,50.0,active,"{0, 5, 5.1860200000000045, 7, 57.53, 413.9010000000001}",0.0,5.0,5.1860200000000045,7.0,57.53,413.9010000000001
CHEMBL355781,CS(=O)(=O)c1ccc(-c2csc(CC(=O)O)c2-c2ccc(F)cc2)cc1,10000.0,inactive,"{1, 4, 5, 390.45700000000005, 71.44, 4.251800000000003}",1.0,4.0,5.0,390.45700000000005,71.44,4.251800000000003
CHEMBL276436,CC(C)CCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,4500.0,active,"{0, 2, 5, 5.663100000000006, 26.3, 316.4850000000001}",0.0,2.0,5.0,5.663100000000006,26.3,316.4850000000001
CHEMBL95380,COc1ccc2c(c1)c(CC(=O)NCCOC(=O)/C=C/c1ccc(N(C)C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,190.0,active,"{1, 5.281520000000005, 7, 10, 89.86999999999998, 574.0770000000002}",1.0,5.281520000000005,7.0,10.0,89.86999999999998,574.0770000000002
CHEMBL97808,COc1ccc2c(c1)c(CC(=O)Nc1ncc(C)s1)c(C)n2C(=O)c1ccc(Cl)cc1,4000.0,active,"{1, 5, 453.95100000000014, 6, 5.2463400000000044, 73.22}",1.0,5.0,453.95100000000014,6.0,5.2463400000000044,73.22
CHEMBL222902,COc1cc(OC)cc(OCc2cc(-c3ccccc3)n(-c3ccc(S(C)(=O)=O)cc3)n2)c1,870.0,active,"{0, 4.539000000000003, 7, 8, 79.65, 464.5430000000001}",0.0,4.539000000000003,7.0,8.0,79.65,464.5430000000001
CHEMBL126303,Cc1cc(=O)c(Oc2ccccc2C)c(-c2ccc(S(C)(=O)=O)cc2)o1,170.02,active,"{0, 4, 5, 4.119440000000003, 73.58000000000001, 370.4260000000001}",0.0,4.0,5.0,4.119440000000003,73.58000000000001,370.4260000000001
CHEMBL111597,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CCC2)cc1,10.0,active,"{0, 2, 3, 34.14, 5.491600000000004, 367.29700000000014}",0.0,2.0,3.0,34.14,5.491600000000004,367.29700000000014
CHEMBL99933,CCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,100.0,active,"{0, 4.795920000000004, 5, 6, 399.87400000000014, 57.53}",0.0,4.795920000000004,5.0,6.0,399.87400000000014,57.53
